"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"WIPRO","EQ","01-Jan-2024","471.30","473.00","483.50","468.30","474.80","477.15","477.34","1,01,73,639","4,85,62,83,990.30","1,39,809","30,43,928","29.92"
"WIPRO","EQ","02-Jan-2024","477.15","478.00","478.00","464.30","469.55","469.20","469.70","71,41,257","3,35,42,29,294.00","1,24,248","26,28,348","36.81"
"WIPRO","EQ","03-Jan-2024","469.20","463.90","463.90","455.00","456.00","455.90","458.42","97,67,182","4,47,74,57,367.05","2,08,213","44,20,494","45.26"
"WIPRO","EQ","04-Jan-2024","455.90","457.00","459.85","451.40","452.45","452.40","454.67","75,85,168","3,44,87,36,823.65","1,52,999","32,95,903","43.45"
"WIPRO","EQ","05-Jan-2024","452.40","455.05","463.00","453.50","456.05","456.60","458.35","84,44,565","3,87,06,00,023.95","1,77,606","25,32,447","29.99"
"WIPRO","EQ","08-Jan-2024","456.60","457.50","460.00","449.05","450.60","450.35","453.95","50,41,443","2,28,85,76,121.25","1,22,009","18,82,835","37.35"
"WIPRO","EQ","09-Jan-2024","450.35","458.00","462.50","449.95","451.50","450.75","456.18","72,32,524","3,29,93,00,580.60","1,35,994","24,91,631","34.45"
"WIPRO","EQ","10-Jan-2024","450.75","451.45","456.00","449.00","455.65","453.60","452.29","44,37,338","2,00,69,49,671.70","91,350","14,56,951","32.83"
"WIPRO","EQ","11-Jan-2024","453.60","454.95","456.90","446.70","448.55","448.20","451.39","43,19,409","1,94,97,38,022.65","1,14,196","16,24,924","37.62"
"WIPRO","EQ","12-Jan-2024","448.20","455.00","469.00","455.00","466.00","465.45","465.19","1,80,43,367","8,39,35,07,441.20","4,18,036","59,59,104","33.03"
"WIPRO","EQ","15-Jan-2024","465.45","511.95","529.00","489.15","495.10","494.60","504.57","6,39,22,132","32,25,31,08,339.25","5,61,618","1,46,53,036","22.92"
"WIPRO","EQ","16-Jan-2024","494.60","495.00","495.00","480.50","485.75","485.00","485.37","1,29,56,246","6,28,85,65,190.30","2,06,078","39,58,423","30.55"
"WIPRO","EQ","17-Jan-2024","485.00","475.15","491.50","472.00","483.00","482.40","483.21","1,43,34,466","6,92,65,40,674.70","1,78,223","43,24,835","30.17"
"WIPRO","EQ","18-Jan-2024","482.40","482.40","489.00","468.40","482.30","482.65","478.52","1,30,72,462","6,25,54,99,769.45","2,00,207","33,15,459","25.36"
"WIPRO","EQ","19-Jan-2024","482.65","488.00","493.35","483.60","484.90","485.05","487.18","77,49,310","3,77,52,92,896.75","1,36,626","26,21,567","33.83"
"WIPRO","EQ","20-Jan-2024","485.05","486.40","488.90","469.05","478.30","477.95","479.48","60,45,801","2,89,88,37,065.15","1,14,091","13,51,171","22.35"
"WIPRO","EQ","23-Jan-2024","477.95","478.05","486.00","467.05","471.50","469.90","477.07","99,86,168","4,76,40,74,713.60","1,42,848","52,12,852","52.20"
"WIPRO","EQ","24-Jan-2024","469.90","471.00","479.00","468.05","478.75","478.05","472.97","58,54,375","2,76,89,38,795.80","1,16,149","23,54,335","40.21"
"WIPRO","BL","25-Jan-2024","399.70","478.05","478.05","478.05","478.05","478.05","478.05","3,49,572","16,71,12,894.60","1","-","-"
"WIPRO","EQ","25-Jan-2024","478.05","478.05","479.35","468.55","471.85","470.00","472.58","64,26,490","3,03,70,56,380.60","1,32,676","27,02,680","42.06"
"WIPRO","EQ","29-Jan-2024","470.00","470.00","477.00","470.00","473.05","473.00","474.11","50,25,650","2,38,27,01,969.55","95,169","23,11,543","45.99"
"WIPRO","EQ","30-Jan-2024","473.00","474.40","482.90","471.50","472.55","472.50","477.82","59,14,007","2,82,58,37,433.50","1,13,702","20,60,932","34.85"
"WIPRO","EQ","31-Jan-2024","472.50","472.50","479.90","469.00","477.00","478.15","474.77","52,92,240","2,51,26,00,122.90","1,02,548","22,84,170","43.16"
"WIPRO","EQ","01-Feb-2024","478.15","477.55","477.70","470.60","471.40","471.35","473.04","39,14,060","1,85,14,96,740.95","94,070","12,33,618","31.52"
"WIPRO","EQ","02-Feb-2024","471.35","475.00","486.50","475.00","483.80","483.15","481.32","81,48,111","3,92,18,65,076.40","1,43,077","29,42,274","36.11"
"WIPRO","EQ","05-Feb-2024","483.15","483.00","489.50","479.15","482.50","482.35","484.49","57,83,302","2,80,19,49,885.55","1,04,970","22,14,280","38.29"
"WIPRO","EQ","06-Feb-2024","482.35","484.70","501.80","483.10","499.45","499.65","496.86","1,45,12,019","7,21,04,61,310.90","2,06,606","52,87,811","36.44"
"WIPRO","EQ","07-Feb-2024","499.65","500.95","501.70","492.55","495.10","495.20","496.51","45,51,767","2,26,00,05,484.70","98,302","16,35,432","35.93"
"WIPRO","EQ","08-Feb-2024","495.20","495.90","500.10","485.10","489.00","488.85","492.54","56,51,920","2,78,37,94,237.35","1,32,052","17,40,777","30.80"
"WIPRO","EQ","09-Feb-2024","488.85","490.90","494.75","482.75","491.00","490.45","488.69","39,46,894","1,92,88,09,821.30","98,190","9,64,056","24.43"
"WIPRO","EQ","12-Feb-2024","490.45","491.00","510.80","491.00","501.15","501.45","504.66","2,44,36,750","12,33,21,75,483.15","2,70,583","88,42,230","36.18"
"WIPRO","EQ","13-Feb-2024","501.45","503.10","513.00","491.70","511.50","511.60","504.28","1,11,86,788","5,64,12,64,185.90","1,38,027","47,20,158","42.19"
"WIPRO","EQ","14-Feb-2024","511.60","503.95","517.00","497.05","512.75","514.50","507.88","1,12,97,328","5,73,76,87,587.40","1,38,332","43,52,564","38.53"
"WIPRO","EQ","15-Feb-2024","514.50","516.95","522.85","513.05","517.70","518.50","518.83","72,85,388","3,77,99,13,374.25","1,39,433","24,39,566","33.49"
"WIPRO","EQ","16-Feb-2024","518.50","522.50","545.00","520.95","541.95","543.00","535.12","1,74,71,322","9,34,92,29,002.00","2,57,984","57,45,266","32.88"
"WIPRO","EQ","19-Feb-2024","543.00","545.90","545.90","531.35","536.00","535.95","537.98","93,01,379","5,00,39,65,091.35","1,52,421","30,95,558","33.28"
"WIPRO","EQ","20-Feb-2024","535.95","535.80","538.15","526.25","531.95","531.95","532.53","51,87,063","2,76,22,43,913.00","1,23,368","16,87,133","32.53"
"WIPRO","EQ","21-Feb-2024","531.95","535.90","536.30","519.50","521.00","521.40","526.81","65,57,787","3,45,47,23,748.55","1,37,819","25,23,275","38.48"
"WIPRO","EQ","22-Feb-2024","521.40","522.80","533.00","521.45","530.80","531.05","526.59","72,98,241","3,84,31,47,169.20","1,58,061","20,59,894","28.22"
"WIPRO","EQ","23-Feb-2024","531.05","535.00","541.25","533.30","534.40","536.15","536.40","99,30,497","5,32,67,58,973.40","1,51,667","46,41,983","46.74"
"WIPRO","EQ","26-Feb-2024","536.15","536.25","536.50","526.05","531.50","532.90","530.97","44,10,318","2,34,17,63,075.15","1,21,022","17,51,193","39.71"
"WIPRO","EQ","27-Feb-2024","532.90","534.00","537.40","527.55","531.10","531.45","532.40","51,99,630","2,76,82,62,998.75","1,06,972","17,84,937","34.33"
"WIPRO","EQ","28-Feb-2024","531.45","530.00","530.95","515.00","515.80","517.70","522.69","63,94,528","3,34,23,69,685.30","1,54,136","23,75,998","37.16"
"WIPRO","EQ","29-Feb-2024","517.70","517.30","524.25","513.20","521.00","518.60","518.18","72,31,382","3,74,71,58,471.15","1,26,016","31,96,884","44.21"
"WIPRO","EQ","01-Mar-2024","518.60","522.40","525.20","517.55","519.25","519.10","519.93","47,10,315","2,44,90,24,179.70","1,01,604","20,99,369","44.57"
"WIPRO","EQ","02-Mar-2024","519.10","523.45","524.80","522.00","523.00","522.85","523.18","3,40,134","17,79,52,735.70","8,551","1,93,596","56.92"
"WIPRO","EQ","04-Mar-2024","522.85","522.95","526.40","518.55","520.45","520.50","522.04","28,31,185","1,47,79,78,691.80","70,787","11,77,169","41.58"
"WIPRO","EQ","05-Mar-2024","520.50","517.75","520.50","510.65","512.95","513.30","514.68","52,60,774","2,70,75,97,916.35","1,02,449","24,19,162","45.98"
"WIPRO","EQ","06-Mar-2024","513.30","513.70","514.85","500.00","513.70","513.15","507.30","55,45,961","2,81,34,60,342.15","1,06,018","16,28,111","29.36"
"WIPRO","EQ","07-Mar-2024","513.15","513.75","520.40","510.50","514.40","515.50","515.79","48,53,991","2,50,36,34,427.65","90,688","18,48,515","38.08"
"WIPRO","EQ","11-Mar-2024","515.50","517.40","518.95","512.30","513.35","514.55","515.88","55,65,756","2,87,12,72,596.85","1,00,543","27,57,908","49.55"
"WIPRO","EQ","12-Mar-2024","514.55","512.75","522.50","507.75","510.35","510.85","514.32","58,26,380","2,99,66,41,599.75","1,11,713","17,40,185","29.87"
"WIPRO","EQ","13-Mar-2024","510.85","513.80","518.70","496.80","503.30","504.40","507.97","67,90,240","3,44,92,51,500.10","1,31,621","23,41,926","34.49"
"WIPRO","EQ","14-Mar-2024","504.40","501.15","518.90","495.15","516.70","517.95","510.75","64,12,736","3,27,52,92,245.50","1,31,382","24,00,518","37.43"
"WIPRO","EQ","15-Mar-2024","517.95","514.75","518.25","506.40","515.05","517.00","514.17","68,24,543","3,50,89,48,810.80","1,20,822","32,67,205","47.87"
"WIPRO","EQ","18-Mar-2024","517.00","518.00","518.55","509.00","510.00","510.20","512.48","31,96,980","1,63,83,84,109.40","74,628","14,15,711","44.28"
"WIPRO","EQ","19-Mar-2024","510.20","509.00","509.00","493.15","494.05","494.85","500.12","48,08,693","2,40,49,22,101.70","1,00,950","20,22,116","42.05"
"WIPRO","EQ","20-Mar-2024","494.85","496.05","501.25","489.20","494.10","493.50","494.36","41,92,672","2,07,26,97,556.55","93,190","15,22,548","36.31"
"WIPRO","EQ","21-Mar-2024","493.50","499.65","505.30","498.45","501.00","500.45","501.64","58,22,290","2,92,06,74,298.90","1,25,870","25,69,374","44.13"
"WIPRO","EQ","22-Mar-2024","500.45","489.25","490.75","479.55","488.15","487.10","485.76","1,43,23,251","6,95,77,32,104.45","2,13,879","39,06,216","27.27"
"WIPRO","EQ","26-Mar-2024","487.10","486.00","490.95","479.05","479.90","479.85","482.46","91,36,673","4,40,81,01,326.90","1,35,593","48,07,552","52.62"
"WIPRO","EQ","27-Mar-2024","479.85","479.70","480.95","471.25","472.00","472.30","475.86","71,60,334","3,40,73,35,199.95","1,32,362","35,72,056","49.89"
"WIPRO","EQ","28-Mar-2024","472.30","476.70","483.05","475.30","480.00","480.10","479.46","77,27,575","3,70,50,31,323.15","1,16,396","33,63,015","43.52"
"WIPRO","EQ","01-Apr-2024","480.10","483.70","486.40","481.55","485.10","484.95","484.07","30,20,504","1,46,21,49,401.65","54,843","10,43,951","34.56"
"WIPRO","EQ","02-Apr-2024","484.95","481.95","482.70","479.60","481.65","481.20","480.97","34,66,327","1,66,71,89,630.65","60,299","17,15,514","49.49"
"WIPRO","EQ","03-Apr-2024","481.20","480.00","487.70","475.95","483.75","483.20","483.26","68,97,258","3,33,31,43,126.20","89,528","31,88,072","46.22"
"WIPRO","EQ","04-Apr-2024","483.20","485.80","491.95","479.60","489.00","487.40","486.02","80,02,023","3,88,91,52,033.00","1,33,925","20,28,380","25.35"
"WIPRO","EQ","05-Apr-2024","487.40","486.50","487.15","482.55","485.00","485.05","485.12","32,07,172","1,55,58,58,117.10","67,428","12,78,455","39.86"
"WIPRO","EQ","08-Apr-2024","485.05","490.00","491.60","478.20","480.25","479.90","481.97","1,33,20,385","6,42,00,41,980.50","1,58,947","52,59,589","39.49"
"WIPRO","EQ","09-Apr-2024","479.90","483.95","485.25","475.20","476.20","475.80","480.00","79,00,625","3,79,23,12,304.20","94,664","29,71,860","37.62"
"WIPRO","EQ","10-Apr-2024","475.80","477.50","479.45","473.10","477.70","477.30","476.56","53,85,767","2,56,66,67,762.60","96,262","24,81,747","46.08"